Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
The Shawshank Redemption,1994,142 min,Drama,9.3,80,2343110,"28,341,469"
The Godfather,1972,175 min,"Crime, Drama",9.2,100,1620367,"134,966,411"
The Dark Knight,2008,152 min,"Action, Crime, Drama",9,84,2303232,"534,858,444"
The Godfather: Part II,1974,202 min,"Crime, Drama",9,90,1129952,"57,300,000"
12 Angry Men,1957,96 min,"Crime, Drama",9,96,689845,"4,360,000"
The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",8.9,94,1642758,"377,845,905"
Pulp Fiction,1994,154 min,"Crime, Drama",8.9,94,1826188,"107,928,762"
Schindler's List,1993,195 min,"Biography, Drama, History",8.9,94,1213505,"96,898,818"
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,74,2067042,"292,576,195"
Fight Club,1999,139 min,Drama,8.8,66,1854740,"37,030,102"
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8,92,1661481,"315,544,750"
Forrest Gump,1994,142 min,"Drama, Romance",8.8,82,1809221,"330,252,182"
"Il buono, il brutto, il cattivo",1966,161 min,Western,8.8,90,688390,"6,100,000"
The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.7,87,1485555,"342,551,365"
The Matrix,1999,136 min,"Action, Sci-Fi",8.7,73,1676426,"171,479,930"
Goodfellas,1990,146 min,"Biography, Crime, Drama",8.7,90,1020727,"46,836,394"
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy",8.7,82,1159315,"290,475,067"
One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7,83,918088,"112,000,000"
Hamilton,2020,160 min,"Biography, Drama, History",8.6,90,55291,
Gisaengchung,2019,132 min,"Comedy, Drama, Thriller",8.6,96,552778,"53,367,844"
Soorarai Pottru,2020,153 min,Drama,8.6,,54995,
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,74,1512360,"188,020,017"
Cidade de Deus,2002,130 min,"Crime, Drama",8.6,79,699256,"7,563,397"
Sen to Chihiro no kamikakushi,2001,125 min,"Animation, Adventure, Family",8.6,96,651376,"10,055,859"
Saving Private Ryan,1998,169 min,"Drama, War",8.6,91,1235804,"216,540,909"
The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6,61,1147794,"136,801,374"
La vita è bella,1997,116 min,"Comedy, Drama, Romance",8.6,59,623629,"57,598,247"
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6,65,1445096,"100,125,643"
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6,85,1270197,"130,742,922"
Star Wars,1977,121 min,"Action, Adventure, Fantasy",8.6,90,1231473,"322,740,140"
